original title,body_title,body_stem_title,body_lem_title,body_desc,body_stem_desc,body_lem_desc,classification,País,Idioma,Origem,original description,Data de publicação
Borracheiro que morreu em um acidente de trabalho foi incluido nos numeros de mortes do COVID-19,borracheiro morreu acidente trabalho incluido numeros mortes covid,borracheir morr acident trabalh inclu numer mort covid,borracheiro morrer acidente trabalho incluir numero morte covid,departamento sa pernambuco informou certid bito homem anos circula publica es m dia social verdadeira causa morte corrigida outros exames laboratoriais conclu ram morreu outro v rus respirat rio ag ncia estadual tamb m informou morte homem nunca inclu estat sticas estaduais resultado covid,depart sa pernambuc inform certid bit hom anos circul public es m dia social verdadeir caus mort corrig outr exam laboratori conclu ram morr outr v rus respirat rio ag nci estadual tamb m inform mort hom nunc inclu estat stic estadu result covid,borracheiro morrer acidente trabalho incluir numero morte covid,Falso,,,,,
Diretor geral da OMS deu um passo atras e disse que o isolamento social nao deve ser uma medida na luta contra o coronavirus,diretor geral oms deu passo atras disse isolamento social nao deve ser medida luta contra coronavirus,diretor geral oms deu pass atras diss isol social nao dev ser med lut contr coronavirus,diretor geral om dar passo atras dizer isolamento social nao dever ser medir luta contra coronavirus,discurso destacado cargos executivo adverte fato governos devem considerar impactos sociais econ micos confinamento popula pobre n advogam fim relaxamento dessas medidas declara feita ghebreyesus entrevista coletiva mar desde ent sido usada perfis alinhados bolsonarismo evid ncia suposta retirada oms posi pr xima opini jair bolsonaro contra isolamento social,discurs destac carg execut advert fat govern dev consider impact soc econ mic confin popul pobr n advog fim relax dess med decl feit ghebreyesus entrev colet mar desd ent sid usad perf alinh bolsonar evid nci supost retir oms pos pr xim opin jair bolsonar contr isol social,diretor geral om dar passo atras dizer isolamento social nao dever ser medir luta contra coronavirus,Falso,,,,,
Governo brasileiro aplicara taxas a todos que forem pegos na rua apos 24 de marco,governo brasileiro aplicara taxas todos pegos rua apos marco,govern brasileir aplic tax tod peg rua apos marc,governo brasileiro aplicar taxa todo pegar rua apos marco,embora minist rio sa brasil recomende popula evite aglomera es n estimular dissemina novo coronav rus nenhuma lei regulamento pro ba circula pessoas ruas est contido di rio oficial uni brasileira,embor minist rio sa brasil recomend popul evit aglom es n estimul dissemin nov coronav rus nenhum lei regul pro ba circul pesso ruas est cont di rio oficial uni brasileir,governo brasileiro aplicar taxa todo pegar rua apos marco,Falso,,,,,
Vacina fabricada pela Roche Medical Company cura o COVID-19 em 3 horas,vacina fabricada roche medical company cura covid horas,vacin fabric roch medical company cur covid hor,vacina fabricar roche medical company cura covid hora,n verdade vacina contra coronav rus cure pacientes tr s horas conforme declarado publica es circulam redes foto acompanha texto verdade teste r pido detec covid produzido empresa farmac utica sul coreana sugentech ainda n existem vacinas aprovadas contra novo coronav rus,n verdad vacin contr coronav rus cur pacient tr s hor conform declar public es circul red fot acompanh text verdad test r pid detec covid produz empres farmac utic sul corean sugentech aind n exist vacin aprov contr nov coronav rus,vacina fabricar roche medical company cura covid hora,Falso,,,,,
A auto-hemoterapia cura o COVID-19,auto hemoterapia cura covid,aut hemoterap cur covid,auto hemoterapia cura covid,auto hemoterapia n est medidas preven tratamento novo coronav rus recomendado autoridades sanit rias nacionais internacionais documentos entidades m dicas anvisa ag ncia nacional vigil ncia sanit ria publicados antes pandemia covid j alertavam riscos pr tica n respaldo cient fico pode gerar riscos sa,aut hemoterap n est med preven tratament nov coronav rus recomend autor sanit rias nacion internacion document entidad m dic anvis ag nci nacional vigil nci sanit ria public antes pandem covid j alert risc pr tic n respald cient fic pod ger risc sa,auto hemoterapia cura covid,Falso,,,,,
Pessoas saqueiam supermercado em Sao Vicente (SP) por causa do isolamento social,pessoas saqueiam supermercado sao vicente sp causa isolamento social,pesso saqu supermerc sao vicent sp caus isol social,pessoa saquear supermercado ser vicente sp causar isolamento social,antiga not cia lojas supermercados cidade s vicente litoral s paulo saqueados desinforma deriva reportagem tribuna tv brasileira junho,antig not cia loj supermerc cidad s vicent litoral s paul saqu desinform deriv reportag tribun tv brasileir junh,pessoa saquear supermercado ser vicente sp causar isolamento social,Parcialmente falso,,,,,
"Coronavirus pode ter se espalhado devido ao consumo de sopa de morcegos, afirmam cientistas",coronavirus pode ter espalhado devido consumo sopa morcegos afirmam cientistas,coronavirus pod ter espalh dev consum sop morceg afirm cientist,coronavirus poder ter espalhar devido consumo sopa morcego afirmar cientista,n h evid ncias apoiar alega consumo sopa morcegos est conectado transmiss novo coronav rus estudo recente indica novo v rus compartilha informa es gen ticas outros tipos coronav rus infectam morcegos ainda n est claro quais animais podem ter transmitido v rus seres humanos analisando banco dados gen tico pesquisadores conclu ram cobras chinesas s reservat rio prov vel novo pat geno hip tese ainda n testada experimentalmente,n h evid nci apoi aleg consum sop morceg est conect transmiss nov coronav rus estud recent indic nov v rus compartilh inform es gen tic outr tip coronav rus infect morceg aind n est clar qua anim pod ter transmit v rus ser human analis banc dad gen tic pesquis conclu ram cobr chines s reservat rio prov vel nov pat gen hip tes aind n test experimental,coronavirus poder ter espalhar devido consumo sopa morcego afirmar cientista,Falso,,,,,
OMS aconselha a populacao a evitar relacoes sexuais desprotegidas com animais,oms aconselha populacao evitar relacoes sexuais desprotegidas animais,oms aconselh populaca evit relaco sexu desproteg anim,om aconselhar populacao evitar relaco sexual desproteger animal,postagens compartilhadas redes sociais apresentaram vers editada imagem postada oms twitter janeiro publica original organiza aconselhou pessoas evitar contato animais selvagens cria,postagens compartilh red soc apresent vers edit imag post oms twitt janeir public original organiz aconselh pesso evit contat anim selvagens cri,om aconselhar populacao evitar relaco sexual desproteger animal,Falso,,,,,
"Apos pandemia de coronavirus, presidente chines disse que e hora da China liderar o mundo",apos pandemia coronavirus presidente chines disse hora china liderar mundo,apos pandem coronavirus president chin diss hor chin lider mund,apos pandemia coronaviru presidente chine dizer hora chino liderar mundo,trecho destacado m dias sociais discurso xi outubro abertura congresso partido comunista chin s acontece cada cinco anos discurso xi jinping falou sobre realiza es primeiro governo disse queria fortalecer ainda papel china cen rio internacional,trech destac m dias soc discurs xi outubr abertur congress part comun chin s acontec cad cinc anos discurs xi jinping fal sobr realiz es primeir govern diss quer fortalec aind papel chin cen rio internacional,apos pandemia coronaviru presidente chine dizer hora chino liderar mundo,Falso,,,,,
Professor de Harvard foi preso por criar e vender o coronavirus,professor harvard preso criar vender coronavirus,professor harvard pres cri vend coronavirus,professor harvard prender criar vender coronavirus,dr charles lieber preso fato janeiro deste ano outro motivo segundo departamento justi estados unidos ocultou financiamento recebido universidade wuhan den ncia autoridades americanas n faz men v rus pesquisas biol gicas,dr charl lieb pres fat janeir dest ano outr motiv segund depart just estad unid ocult financ receb univers wuhan den nci autor american n faz men v rus pesquis biol gic,professor harvard prender criar vender coronavirus,Falso,,,,,
Presidente da Camara dos Deputados do Brasil rejeitou um projeto de lei de Jair Bolsonaro sobre a quarentena do COVID-19 em fevereiro,presidente camara deputados brasil rejeitou projeto lei jair bolsonaro sobre quarentena covid fevereiro,president cam deput brasil rejeit projet lei jair bolsonar sobr quarenten covid fevereir,presidente camara deputado brasil rejeitar projeto lei jair bolsonaro sobre quarentena covid fevereiro,medida mencionada cargos aprovada deputados senadores tr s dias recebida congresso nacional sancionada est vigor desde ent,med mencion carg aprov deput senador tr s dias receb congress nacional sancion est vigor desd ent,presidente camara deputado brasil rejeitar projeto lei jair bolsonaro sobre quarentena covid fevereiro,Falso,,,,,
Texto que circula no WhatsApp que diz que chineses criaram o coronavirus e que as principais cidades da China nao sofreram com a pandemia,texto circula whatsapp diz chineses criaram coronavirus principais cidades china nao sofreram pandemia,text circul whatsapp diz chines cri coronavirus princip cidad chin nao sofr pandem,texto circular whatsapp dizer chinês criar coronavirus principal cidade chino nao sofrer pandemia,cidades xangai pequim registraram casos covid at adotaram medidas restritivas contra coronav rus economia chinesa realmente sentiu efeitos econ micos surto diferentemente afirma pe desinforma principais ndices bolsa valores pa s csi shanghai composto ca ram apenas mar respectivamente,cidad xanga pequim registr cas covid at adot med restrit contr coronav rus econom chines realment sent efeit econ mic surt diferent afirm pe desinform princip ndic bols valor pa s csi shangha compost ca ram apen mar respect,texto circular whatsapp dizer chinês criar coronavirus principal cidade chino nao sofrer pandemia,Falso,,,,,
Video mostra mercado brasileiro vazio e a causa da escassez seriam as medidas de isolamento social,video mostra mercado brasileiro vazio causa escassez medidas isolamento social,vid mostr merc brasileir vazi caus escassez med isol social,video mostrar mercado brasileiro vazio causa escassez medida isolamento social,the video which has already been deleted by the brazilian president shows an unidentified man in front of the empty market complaining about the effects of the quarantine the market named ceasa however is functioning normally according to note published on its website according to the regional association of merchants the misleading video was recorded on at time when ceasa was closed cleaning,the vid which has already been deleted by the brazilian president shows an unidentified man in front of the empty market complaining about the effects of the quarantin the market named ceas howev is functioning normally according to not published on its websit according to the regional association of merchants the misleading vid was recorded on at tim when ceas was closed cleaning,video mostrar mercado brasileiro vazio causa escassez medida isolamento social,Falso,,,,,
Ministerio da Defesa de Israel afirma que a melhor medida contra a pandemia e isolar os idosos,ministerio defesa israel afirma melhor medida contra pandemia isolar idosos,ministeri defes israel afirm melhor med contr pandem isol idos,ministerio defesa israel afirmar bom medida contra pandemia isolar idoso,v deo publicado mar naftali bennett diz maneira importante conter crise covid impedir jovens idosos morem juntos entanto publica es divulgaram material omitem ministro corrigiu quatro dias v deo publicado conta oficial defendeu bloqueio maci,v deo public mar naftal bennett diz maneir import cont cris covid imped jovens idos mor junt entant public es divulg material omit ministr corrig quatr dias v deo public cont oficial defend bloquei mac,ministerio defesa israel afirmar bom medida contra pandemia isolar idoso,Parcialmente falso,,,,,
Video mostra caminhoes no Brasil descartando alimentos perdidos devido ao isolamento social,video mostra caminhoes brasil descartando alimentos perdidos devido isolamento social,vid mostr caminho brasil descart aliment perd dev isol social,video mostrar caminho brasil descartar alimento perder devido isolamento social,imagens gravadas fevereiro devido forte chuva inundou ceagesp mercado s paulo comerciantes descartar grande parte mercadoria,imagens grav fevereir dev fort chuv inund ceagesp merc s paul comerc descart grand part mercador,video mostrar caminho brasil descartar alimento perder devido isolamento social,Falso,,,,,
Vitamina C com zinco previne e trata a infeccao por coronavirus,vitamina c zinco previne trata infeccao coronavirus,vitamin c zinc previn trat infecca coronavirus,vitamina c zinco previnar tratar infeccao coronaviru,segundo oms ainda n h rem dio tratar coronav rus medidas preventivas incluem lavar m frequ ncia evitar contato pessoas infectadas n tomar vitamina c zinco,segund oms aind n h rem dio trat coronav rus med prevent inclu lav m frequ nci evit contat pesso infect n tom vitamin c zinc,vitamina c zinco previnar tratar infeccao coronaviru,Falso,,,,,
"Apos quarentena na Italia, Veneza tem aguas limpas com peixes e um golfinho",apos quarentena italia veneza aguas limpas peixes golfinho,apos quarenten ital venez agu limp peix golfinh,apos quarentena italia veneza agua limpo peixe golfinho,alega falsa imagem golfinho tirada outra cidade italiana cagliari ilha sardenha n veneza n devido quarentena,aleg fals imag golfinh tir outr cidad italian cagliar ilha sardenh n venez n dev quarenten,apos quarentena italia veneza agua limpo peixe golfinho,Falso,,,,,
"Agua morna com sal evita infeccao por coronavirus, matando-a na garganta",agua morna sal evita infeccao coronavirus matando garganta,agu morn sal evit infecca coronavirus mat gargant,agua morno sal evitar infeccao coronaviru matar garganta,n h evid ncias cient ficas apoiar teoria v rios especialistas dizem n h conex gua pot vel v rus,n h evid nci cient fic apoi teor v rios especial diz n h conex gua pot vel v rus,agua morno sal evitar infeccao coronaviru matar garganta,Falso,,,,,
Beber agua com limao evita o novo coronavirus,beber agua limao evita novo coronavirus,beb agu lima evit nov coronavirus,beber agua limao evitar novo coronavirus,n h evid ncias cient ficas apoiar teoria autoridades sa n fizeram nenhuma recomenda sobre gua lim,n h evid nci cient fic apoi teor autor sa n fiz nenhum recomend sobr gua lim,beber agua limao evitar novo coronavirus,Falso,,,,,
Dinamarca passou de 200 novos casos de COVID-19 para apenas 26 casos em um dia,dinamarca passou novos casos covid apenas casos dia,dinamarc pass nov cas covid apen cas dia,dinamarca passar novo caso covid apenas caso dia,n meros n est acordo autoridades nacionais nunca relatado havia novos casos dia dinamarca havia novos casos pa s,n mer n est acord autor nacion nunc relat hav nov cas dia dinamarc hav nov cas pa s,dinamarca passar novo caso covid apenas caso dia,Falso,,,,,
Cantora brasileira Preta Gil foi infectada com COVID-19 e se apresentou para mais de 320 mil pessoas,cantora brasileira preta gil infectada covid apresentou mil pessoas,cantor brasileir pret gil infect covid apresent mil pesso,cantora brasileiro preto gil infectar covid apresentar mil pessoa,cantora apresentou mil pessoas mar n infectada novo coronav rus come sentir doente mar deu positivo mar desde ent est quarentena,cantor apresent mil pesso mar n infect nov coronav rus com sent doent mar deu posit mar desd ent est quarenten,cantora brasileiro preto gil infectar covid apresentar mil pessoa,Falso,,,,,
Imagem mostra cientista espanhola pedindo a Cristiano Ronaldo e Messi para encontrar a cura para o COVID-19.,imagem mostra cientista espanhola pedindo cristiano ronaldo messi encontrar cura covid,imag mostr cientist espanhol ped cristian ronald mess encontr cur covid,imagem mostrar cientista espanhol pedir cristiano ronaldo messi encontrar cura covid,mulher foto n cientista ex membro governos espanh is anteriores tirada abril nunca relacionada novo coronav rus jogadores futebol,mulh fot n cientist ex membr govern espanh is anterior tir abril nunc relacion nov coronav rus jogador futebol,imagem mostrar cientista espanhol pedir cristiano ronaldo messi encontrar cura covid,Falso,,,,,
Cristiano Ronaldo vai transformar seus hoteis em hospitais,cristiano ronaldo vai transformar hoteis hospitais,cristian ronald vai transform hot hospit,cristiano ronaldo ir transformar hotel hospital,alega sobre jogador futebol portugu s n verdadeira confirmaram fontes pr ximas hot is jogador,aleg sobr jogador futebol portugu s n verdadeir confirm font pr xim hot is jogador,cristiano ronaldo ir transformar hotel hospital,Falso,,,,,
